# Region type : patch pressure_outlet
# Faces       : 1888
# Area        : 4.314365e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
248           	(-7.200384e-03 6.146455e-02 1.000151e+00)
249           	(-7.430661e-03 6.128677e-02 1.000181e+00)
250           	(-7.418251e-03 6.143874e-02 1.000254e+00)
251           	(-7.546103e-03 6.137711e-02 1.000256e+00)
252           	(-7.713237e-03 6.125461e-02 1.000234e+00)
253           	(-7.729450e-03 6.122411e-02 1.000192e+00)
254           	(-7.950108e-03 6.107148e-02 1.000156e+00)
255           	(-8.000623e-03 6.089496e-02 1.000132e+00)
256           	(-8.073760e-03 6.077998e-02 1.000110e+00)
257           	(-8.270188e-03 6.055410e-02 1.000110e+00)
258           	(-8.270890e-03 6.047842e-02 1.000122e+00)
259           	(-8.452462e-03 6.026575e-02 1.000133e+00)
260           	(-8.505117e-03 6.016735e-02 1.000143e+00)
261           	(-8.652066e-03 5.990361e-02 1.000124e+00)
262           	(-8.899122e-03 5.960456e-02 1.000128e+00)
263           	(-8.972881e-03 5.932836e-02 1.000145e+00)
264           	(-9.126295e-03 5.899013e-02 1.000192e+00)
265           	(-9.181819e-03 5.875876e-02 1.000223e+00)
266           	(-9.270674e-03 5.831409e-02 1.000233e+00)
267           	(-9.296483e-03 5.806165e-02 1.000244e+00)
268           	(-9.443696e-03 5.767662e-02 1.000226e+00)
269           	(-9.474064e-03 5.737821e-02 1.000226e+00)
270           	(-9.579156e-03 5.696721e-02 1.000208e+00)
271           	(-9.593044e-03 5.684754e-02 1.000212e+00)
272           	(-9.770797e-03 5.643671e-02 1.000212e+00)
273           	(-9.686381e-03 5.614318e-02 1.000228e+00)
274           	(-9.818368e-03 5.569588e-02 1.000231e+00)
275           	(-9.825094e-03 5.525254e-02 1.000214e+00)
276           	(-9.844892e-03 5.495207e-02 1.000192e+00)
277           	(-9.944277e-03 5.462741e-02 1.000201e+00)
278           	(-9.831594e-03 5.437939e-02 1.000238e+00)
279           	(-9.887953e-03 5.385264e-02 1.000270e+00)
280           	(-9.815663e-03 5.340744e-02 1.000307e+00)
281           	(-9.744312e-03 5.294939e-02 1.000309e+00)
282           	(-9.637132e-03 5.236693e-02 1.000294e+00)
283           	(-9.540455e-03 5.187108e-02 1.000255e+00)
284           	(-9.460558e-03 5.140031e-02 1.000222e+00)
285           	(-9.301143e-03 5.101268e-02 1.000215e+00)
286           	(-9.225750e-03 5.054406e-02 1.000231e+00)
287           	(-9.150509e-03 5.008069e-02 1.000261e+00)
288           	(-9.028985e-03 4.962721e-02 1.000256e+00)
289           	(-8.964624e-03 4.927301e-02 1.000239e+00)
290           	(-8.939667e-03 4.884679e-02 1.000257e+00)
291           	(-8.904836e-03 4.842660e-02 1.000252e+00)
292           	(-8.728825e-03 4.809175e-02 1.000307e+00)
293           	(-8.731170e-03 4.760216e-02 1.000335e+00)
294           	(-8.536421e-03 4.725379e-02 1.000398e+00)
295           	(-8.498793e-03 4.679598e-02 1.000421e+00)
296           	(-8.390336e-03 4.642910e-02 1.000406e+00)
297           	(-8.281165e-03 4.602682e-02 1.000352e+00)
298           	(-8.169955e-03 4.571738e-02 1.000319e+00)
