# Region type : patch pressure_outlet
# Faces       : 11534
# Area        : 3.696967e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
183           	(3.117950e-06 -4.642530e-05 1.003003e-03)
184           	(2.639993e-06 -4.550203e-05 1.002286e-03)
185           	(2.657041e-06 -4.441647e-05 1.000887e-03)
186           	(2.209922e-06 -4.378728e-05 1.000754e-03)
187           	(2.373811e-06 -4.298898e-05 1.000601e-03)
188           	(1.758046e-06 -4.207310e-05 1.001474e-03)
189           	(2.048558e-06 -4.179797e-05 1.001929e-03)
190           	(1.684867e-06 -4.165492e-05 1.001893e-03)
191           	(1.557219e-06 -4.081494e-05 1.001195e-03)
192           	(1.199554e-06 -4.018496e-05 1.000755e-03)
193           	(1.211311e-06 -3.968670e-05 1.000326e-03)
194           	(1.023008e-06 -3.934348e-05 1.000473e-03)
195           	(9.666647e-07 -3.916172e-05 1.000583e-03)
196           	(1.052972e-06 -3.836452e-05 1.000785e-03)
197           	(1.096204e-06 -3.831400e-05 1.000810e-03)
198           	(1.102793e-06 -3.772638e-05 1.000506e-03)
199           	(1.092557e-06 -3.789497e-05 1.000329e-03)
200           	(1.088867e-06 -3.735654e-05 1.000030e-03)
201           	(1.009828e-06 -3.763413e-05 1.000124e-03)
202           	(1.041616e-06 -3.707336e-05 1.000362e-03)
203           	(8.831919e-07 -3.735861e-05 1.000526e-03)
204           	(1.048788e-06 -3.667124e-05 1.000434e-03)
205           	(9.043447e-07 -3.705446e-05 1.000385e-03)
206           	(1.103896e-06 -3.657268e-05 1.000098e-03)
207           	(9.743131e-07 -3.678088e-05 9.997665e-04)
208           	(1.154408e-06 -3.652396e-05 9.997742e-04)
209           	(1.239437e-06 -3.629805e-05 9.998633e-04)
210           	(1.208073e-06 -3.644621e-05 1.000006e-03)
211           	(1.190106e-06 -3.652563e-05 1.000351e-03)
212           	(1.089367e-06 -3.653506e-05 1.000374e-03)
213           	(1.138753e-06 -3.633327e-05 1.000164e-03)
214           	(1.109135e-06 -3.631006e-05 9.999347e-04)
215           	(1.204346e-06 -3.607409e-05 9.998121e-04)
216           	(1.238262e-06 -3.587983e-05 9.998355e-04)
217           	(1.314832e-06 -3.578757e-05 9.999149e-04)
218           	(1.354143e-06 -3.568681e-05 9.999724e-04)
219           	(1.437889e-06 -3.561370e-05 9.999727e-04)
220           	(1.504217e-06 -3.551837e-05 9.999451e-04)
221           	(1.589791e-06 -3.537016e-05 9.999399e-04)
222           	(1.630819e-06 -3.519405e-05 9.999563e-04)
223           	(1.711129e-06 -3.505185e-05 9.999848e-04)
224           	(1.915105e-06 -3.468764e-05 9.999997e-04)
225           	(1.904468e-06 -3.455460e-05 1.000132e-03)
226           	(1.956168e-06 -3.420825e-05 1.000049e-03)
227           	(1.987206e-06 -3.415382e-05 9.999904e-04)
228           	(2.025827e-06 -3.381560e-05 9.998731e-04)
229           	(2.110252e-06 -3.342569e-05 9.998118e-04)
230           	(2.188772e-06 -3.320112e-05 9.998199e-04)
231           	(2.230646e-06 -3.301032e-05 9.998783e-04)
232           	(2.303142e-06 -3.281708e-05 9.999167e-04)
233           	(2.351833e-06 -3.255146e-05 9.999203e-04)
234           	(2.411286e-06 -3.227409e-05 9.999049e-04)
235           	(2.435000e-06 -3.223926e-05 9.998958e-04)
236           	(2.512342e-06 -3.178395e-05 9.998998e-04)
237           	(2.590394e-06 -3.140142e-05 9.998968e-04)
238           	(2.576830e-06 -3.124202e-05 9.998959e-04)
239           	(2.687967e-06 -3.071494e-05 1.000043e-03)
240           	(2.709094e-06 -3.033627e-05 9.999485e-04)
241           	(2.765530e-06 -3.027342e-05 9.999174e-04)
242           	(2.783093e-06 -2.992092e-05 9.998431e-04)
243           	(2.862753e-06 -2.951114e-05 9.997802e-04)
244           	(2.919675e-06 -2.921146e-05 9.997761e-04)
245           	(2.963473e-06 -2.892491e-05 9.998207e-04)
246           	(3.008270e-06 -2.864465e-05 9.998655e-04)
247           	(3.053997e-06 -2.834568e-05 9.998875e-04)
248           	(3.046553e-06 -2.823137e-05 9.998934e-04)
249           	(3.136892e-06 -2.775830e-05 9.998977e-04)
250           	(3.129666e-06 -2.757040e-05 9.998875e-04)
251           	(3.216747e-06 -2.708740e-05 9.998814e-04)
252           	(3.255108e-06 -2.670262e-05 9.998722e-04)
253           	(3.284381e-06 -2.634236e-05 9.998671e-04)
254           	(3.288062e-06 -2.623308e-05 1.000009e-03)
255           	(3.319789e-06 -2.589754e-05 9.999460e-04)
256           	(3.377032e-06 -2.550791e-05 9.998678e-04)
257           	(3.411737e-06 -2.518150e-05 9.998307e-04)
258           	(3.437567e-06 -2.490539e-05 9.998373e-04)
259           	(3.463299e-06 -2.464109e-05 9.998596e-04)
260           	(3.489530e-06 -2.437474e-05 9.998753e-04)
261           	(3.515198e-06 -2.410056e-05 9.998860e-04)
262           	(3.540037e-06 -2.382041e-05 9.998945e-04)
