# Region type : patch pressure_outlet
# Faces       : 6382
# Area        : 3.066803e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
369           	(2.483601e-01 -9.817645e-03 5.972721e-01)
370           	(2.510140e-01 -9.981518e-03 6.158027e-01)
371           	(2.573694e-01 -1.167383e-02 6.358696e-01)
372           	(2.554198e-01 -1.410666e-02 6.303996e-01)
373           	(2.492423e-01 -1.637271e-02 6.321863e-01)
374           	(2.516500e-01 -1.871791e-02 6.353964e-01)
375           	(2.491073e-01 -1.974254e-02 6.390924e-01)
376           	(2.539666e-01 -1.982585e-02 6.413935e-01)
377           	(2.574016e-01 -2.063570e-02 6.375635e-01)
378           	(2.554794e-01 -2.158167e-02 6.304508e-01)
379           	(2.576542e-01 -2.178871e-02 6.355670e-01)
380           	(2.623393e-01 -2.112906e-02 6.529997e-01)
381           	(2.566770e-01 -1.971016e-02 6.595022e-01)
382           	(2.569663e-01 -1.829846e-02 6.600647e-01)
383           	(2.579925e-01 -1.701123e-02 6.635681e-01)
384           	(2.575095e-01 -1.591209e-02 6.700137e-01)
385           	(2.622756e-01 -1.506747e-02 6.741966e-01)
386           	(2.634737e-01 -1.470500e-02 6.804547e-01)
387           	(2.669248e-01 -1.466976e-02 6.750589e-01)
388           	(2.679727e-01 -1.501510e-02 6.922965e-01)
389           	(2.722956e-01 -1.560593e-02 7.005326e-01)
390           	(2.834963e-01 -1.628108e-02 7.008669e-01)
391           	(2.982815e-01 -1.700643e-02 7.115962e-01)
392           	(3.064391e-01 -1.753783e-02 7.079359e-01)
393           	(2.984153e-01 -1.800842e-02 7.109372e-01)
394           	(3.108503e-01 -1.778205e-02 7.148961e-01)
395           	(3.231220e-01 -1.725867e-02 7.203964e-01)
396           	(3.185974e-01 -1.666225e-02 7.164925e-01)
397           	(3.241513e-01 -1.600273e-02 7.216058e-01)
398           	(3.211289e-01 -1.524804e-02 7.281745e-01)
399           	(3.173103e-01 -1.453981e-02 7.401720e-01)
400           	(3.116474e-01 -1.394226e-02 7.451834e-01)
401           	(3.157577e-01 -1.349649e-02 7.399466e-01)
402           	(3.174451e-01 -1.309817e-02 7.430774e-01)
403           	(3.208836e-01 -1.318520e-02 7.643850e-01)
404           	(3.229631e-01 -1.408750e-02 7.679270e-01)
405           	(3.256834e-01 -1.495117e-02 7.621305e-01)
406           	(3.305249e-01 -1.576849e-02 7.612896e-01)
407           	(3.348656e-01 -1.623433e-02 7.515524e-01)
408           	(3.358591e-01 -1.672039e-02 7.491829e-01)
409           	(3.329421e-01 -1.683071e-02 7.392143e-01)
410           	(3.350043e-01 -1.640049e-02 7.400298e-01)
411           	(3.313359e-01 -1.567700e-02 7.533037e-01)
412           	(3.294963e-01 -1.473833e-02 7.580241e-01)
413           	(3.240324e-01 -1.392573e-02 7.637329e-01)
414           	(3.223929e-01 -1.351319e-02 7.676505e-01)
415           	(3.256022e-01 -1.313817e-02 7.718305e-01)
416           	(3.261169e-01 -1.278668e-02 7.741444e-01)
417           	(3.260005e-01 -1.246219e-02 7.716071e-01)
418           	(3.245797e-01 -1.263841e-02 7.727570e-01)
419           	(3.265690e-01 -1.290231e-02 7.794610e-01)
420           	(3.263948e-01 -1.334428e-02 7.757568e-01)
421           	(3.261791e-01 -1.373101e-02 7.776986e-01)
422           	(3.287868e-01 -1.404671e-02 7.744104e-01)
423           	(3.258994e-01 -1.416134e-02 7.786973e-01)
424           	(3.286771e-01 -1.416665e-02 7.797258e-01)
425           	(3.276129e-01 -1.445190e-02 7.830778e-01)
426           	(3.293655e-01 -1.487957e-02 7.718330e-01)
427           	(3.335807e-01 -1.504868e-02 7.904460e-01)
428           	(3.350186e-01 -1.514950e-02 7.764774e-01)
429           	(3.390990e-01 -1.539985e-02 7.805273e-01)
430           	(3.436108e-01 -1.560495e-02 7.792048e-01)
431           	(3.480751e-01 -1.568966e-02 7.888169e-01)
432           	(3.511225e-01 -1.588816e-02 7.849346e-01)
433           	(3.525751e-01 -1.607716e-02 7.906639e-01)
